order_status,total_orders,total_sales,late_delivery_rate,average_shipping_delay
PENDING,7321,3704456.227556264,57.9,0.5726504177584417
PENDING_PAYMENT,14382,7286275.63639433,57.55,0.5884715806386824
COMPLETE,21716,10859271.729999078,57.49,0.5623203509774588
PAYMENT_REVIEW,704,345576.163399914,57.16,0.5985208663497095
PROCESSING,7901,4051380.7727581467,57.09,0.5553374121084832
CLOSED,7249,3617466.847059986,56.63,0.547716150081566
ON_HOLD,3624,1780237.698776325,55.59,0.5285597715218279
CANCELED,1367,668244.986689259,0.0,0.5590465872156013
SUSPECTED_FRAUD,1488,741492.317583312,0.0,0.5851797144263909
